"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"93"	"Mesenchymal to Epithelial Transition Involved in Metanephros Morphogenesis (GO:0003337)"	"93"	0.000561392567655443	0.00851143570316317	0	0	88.4848484848485	662.317066320188	"SALL1;SMO"
"94"	"Neural Crest Cell Differentiation (GO:0014033)"	"94"	0.000590267712117806	0.00866955702173028	0	0	21.077399380805	156.709081184055	"MEF2C;FBXL17;SNAI2"
"95"	"Response to BMP (GO:0071772)"	"95"	0.000590267712117806	0.00866955702173028	0	0	21.077399380805	156.709081184055	"BMP2;SOX9;BMP6"
"96"	"Pulmonary Valve Development (GO:0003177)"	"96"	0.000590267712117806	0.00866955702173028	0	0	21.077399380805	156.709081184055	"ADAMTS5;TGFB2;NFATC1"
"97"	"Stem Cell Differentiation (GO:0048863)"	"97"	0.000599627115467151	0.00871622920421323	0	0	11.4199328107503	84.7267948606266	"MEF2C;TGFB2;FBXL17;HMGA2"
"98"	"Cellular Response to Hormone Stimulus (GO:0032870)"	"98"	0.000611683894948175	0.0088007580803768	0	0	7.93065835605765	58.6812800895049	"SOCS2;MEF2C;SLIT3;NR3C1;ESR1"
"99"	"Positive Regulation of Cell Motility (GO:2000147)"	"99"	0.000687171943594265	0.00978699434816074	0	0	4.47474523704032	32.5892384985043	"BMP2;SMO;INSR;LEF1;SNAI2;PIK3CD;IGF1R;EZH2"
"100"	"Insulin Receptor Signaling Pathway (GO:0008286)"	"100"	0.000694436887143414	0.00979156010872214	0	0	10.952738990333	79.6528006215151	"IRS1;INSR;GRB2;IGF1R"
"101"	"Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)"	"101"	0.000704863042254138	0.00984016722354787	0	0	5.08889925707928	36.9327221857847	"MEF2C;BMP2;TGFB2;SMAD3;ITGB8;CCDC3;ESR1"
"102"	"Regulation of Epithelial Cell Proliferation (GO:0050678)"	"102"	0.000820392298707764	0.0109392646581587	0	0	7.40557455789244	52.6219978926283	"TGFB2;CDK6;FGF18;SOX9;BMP6"
"103"	"Negative Regulation of Multicellular Organismal Process (GO:0051241)"	"103"	0.000821007070494114	0.0109392646581587	0	0	4.34844406159147	30.8956030293012	"ADAMTS5;TLE3;MEF2C;SMAD3;PTCH1;NPR3;SOX9;PTPRG"
"104"	"Epithelial Cell Differentiation Involved in Kidney Development (GO:0035850)"	"104"	0.000837901122752582	0.0109392646581587	0	0	66.3603896103896	470.137510123603	"MEF2C;SALL1"
"105"	"Regulation of Transforming Growth Factor Beta2 Production (GO:0032909)"	"105"	0.000837901122752582	0.0109392646581587	0	0	66.3603896103896	470.137510123603	"TGFB2;SMAD3"
